airport_code,completion_rate,average_eta,active_drivers,driver_cancellation_rate,queue_size,surge_multiplier,request_volume,timestamp
SFO,71,18,145,19,180,1.2,920,2026-09-18 10:13:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 10:13:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 10:13:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 10:08:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 10:08:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 10:08:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 10:03:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 10:03:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 10:03:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 09:58:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 09:58:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 09:58:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 09:53:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 09:53:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 09:53:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 09:48:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 09:48:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 09:48:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 09:43:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 09:43:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 09:43:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 09:38:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 09:38:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 09:38:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 09:33:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 09:33:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 09:33:00
SFO,71,18,145,19,180,1.2,920,2026-09-18 09:28:00
LAX,84,16,210,13,125,1.1,850,2026-09-18 09:28:00
JFK,86,15,195,11,110,1.2,780,2026-09-18 09:28:00
